company_id,year,gross_margin,net_margin,revenue_growth,cost_growth,label
AFI,2021,0.1140175411601785,-0.08155100784736113,0.11132010943912449,0.14040247678018575,Distressed
AFIB,2021,-0.5044542404467389,-6.817065399988414,1.0395793950850662,0.3353159478435306,Distressed
AFRM,2023,0.8847514302716966,-0.6205001936416276,0.1769024051132001,0.29904303722195896,Distressed
AFRM,2024,0.8518066516602031,-0.2228830059763263,0.46285953582684974,0.05319032484253909,Distressed
AFRM,2025,0.8680531110953287,0.01618373092015875,0.38803804909085193,0.11553765459175348,Distressed
AGCO,2021,0.2309418852068987,0.08053293590583842,0.21734045925003007,0.1913651451305351,At-Risk
AGCO,2022,0.23723066221920103,0.07031632862766177,0.13584658341039477,0.12076153967752135,At-Risk
AGCO,2023,0.26209375260192613,0.0812772334933807,0.13919408128744645,0.11919181233967154,At-Risk
AGCO,2024,0.2485958548778501,-0.036426311321482774,-0.19084260775443368,-0.154497479521109,At-Risk
AGE,2021,0.8680555555555556,-24.696043881430608,-0.6011080332409973,-0.2177612082974859,Distressed
AGE,2022,0.6176470588235294,-24.696043881430608,-0.6509892588799009,-0.14346816570939752,Distressed
AGEN,2021,0.9322834338348652,-0.4669125539098023,-0.019366567792555738,-0.47722532627691366,Distressed
AGEN,2022,0.8696097422546855,-2.7153203617564685,0.5816599340397712,1.8793949013163034,Distressed
AGFS,2021,0.7050647934501684,-0.03267083963395165,0.05294240784557513,0.03493576052311635,Distressed
AGFS,2022,0.66998894631863,-0.2059875136627207,-0.024411256167577368,0.020446911055936906,Distressed
AGIO,2023,0.8925921783543973,-13.126346791932297,0.8836376404494382,0.037251386729549925,At-Risk
AGIO,2024,0.8858841580360568,0.5635498732008526,0.3606979085113522,0.10500585690038489,Healthy
AGM,2021,0.5210545467350604,0.3194839951639219,-0.16279476566154474,-0.2589001172702478,Distressed
AGM,2022,0.3779601812378635,0.24851014440997254,0.682880048830303,0.8599214216198681,Distressed
AGM,2023,0.2352580787882967,0.14365059527913765,0.9422360109814075,1.2209117089601123,Distressed
AGM,2024,0.22068192646658966,0.12921168232808403,0.15171286400514836,0.17878926967694195,Distressed
AGS,2021,0.7566115766126548,-0.08691701065861623,0.5550006885938913,0.14123369593980187,Distressed
AGS,2022,0.7199033079538256,-0.025966597293139777,0.19153163699094325,0.13634792286742944,Distressed
AGS,2023,0.7051433796306684,0.0012004397872865573,0.15221241225972415,0.1044912889917787,Distressed
AGS,2024,0.7009864130778873,0.13079153634786572,0.10750387057688424,0.08154271452996047,Distressed
AGTI,2021,0.4088005083326113,0.023111804291944663,0.34317067367375653,0.26748718894709284,Distressed
AGTI,2022,0.3843548335313192,0.02694391826571491,0.07952517112901829,0.10149819146886972,Distressed
AGTI,2023,0.3440333933819398,-0.01653748837906222,0.04754515326962112,0.07821483601572321,Distressed
AGX,2021,0.19579480534778254,0.0750809823900112,0.29873076903463996,0.23776748469581235,At-Risk
AGX,2022,0.18978771097046412,0.07273646272855133,-0.10666116968019318,-0.09538711350471267,At-Risk
AGX,2023,0.1409896168544284,0.056438404906049365,0.25996176160337553,0.29877277312631995,At-Risk
AGX,2024,0.16128161394863066,0.09775915458962066,0.5247317004254072,0.4639981373690338,At-Risk
AGYS,2021,0.6242898251309673,0.03983127966747829,0.1856009797632239,-0.011490255100104974,At-Risk
AGYS,2022,0.6099967182490597,0.07362229571100397,0.2178422981381736,0.184707997210796,At-Risk
AGYS,2023,0.6074857662635178,0.3629813361183169,0.19891954661348546,0.18757492305200066,At-Risk
AGYS,2024,0.6239950076916378,0.08426334426610164,0.16069804265067547,0.1256507841238229,At-Risk
AH,2021,0.18018445680184456,0.06591618065916181,0.16037141957821843,0.11597245549210615,At-Risk
AHCO,2021,0.18506326238372825,0.06335365680511779,1.302426713839797,1.2410489132610174,Distressed
AHCO,2022,0.1952857929135409,0.023334045872964844,0.20504598134783966,0.24141681829852313,Distressed
AHCO,2023,0.19501015100102276,-0.2121429533428932,0.07728485370775888,0.06748006606756962,Distressed
AHCO,2024,0.20886176680287338,0.027728516777957513,0.018998324155195166,0.00551723487267129,Distressed
AHH,2021,0.8463175917999028,0.07236235385891787,-0.2114020133773336,-0.29323159863895476,Distressed
AHH,2022,0.8922974714039195,0.15865438699639803,0.5572879652798207,0.6244992893138649,Distressed
AHPI,2022,0.09344665188254622,-0.19822937363594156,-0.2544934496848852,-0.1407296110029865,Distressed
AHR,2021,0.16637577266282655,-0.03727342632582936,4.509057831645275,1.8793949013163034,Distressed
AHR,2022,0.18376922725820438,-0.049478600879395075,0.2814738733511457,0.2467477925139805,Distressed
AHT,2021,0.2838364512031745,-0.33151397236938657,0.5847122804670253,0.10634417986955987,Distressed
AI,2022,0.7479298462171475,-0.7598740302026832,0.37956084861120964,0.8436430845055961,At-Risk
AI,2023,0.6763919863565659,-1.007661312993122,0.05553115813878042,0.24150498684506583,At-Risk
AI,2024,0.5749206328763419,-0.9005544429490441,0.16412226615941078,0.12854394855083906,At-Risk
AI,2025,0.6062443452870538,-0.7420576986346439,0.25266757249293265,0.1344454973891917,Distressed
