gross_margin,net_margin,revenue_growth,cost_growth,current_ratio,debt_to_equity,opex_ratio,ebit_margin,asset_turnover,negative_equity,size_bucket_large,size_bucket_micro,size_bucket_mid,size_bucket_small,profit_regime_breakeven,profit_regime_loss,profit_regime_profitable,leverage_tier_high,leverage_tier_low,leverage_tier_med,growth_stage_high_growth,growth_stage_shrinking,growth_stage_stable
0.60411793,-0.7480638,-0.3291766,-0.07485031,3.3762398,0.17465451,1.2865803,-0.68246245,0.34436595,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.22814065,0.052054953,0.15455963,0.15512462,1.1885253,3.6835113,0.14010945,0.0880312,1.6460645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.77276564,0.56223726,-0.22087894,-0.10576308,18.984192,0.069705255,0.15109515,0.5193816,0.44630376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.3399917,-2.161465,4.170323,0.29163456,2.885195,0.46764252,2.8289638,-2.4889722,0.31535432,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.2413932,-0.66429466,-0.17676492,-0.2995097,1.9287888,5.53356,0.8479847,-0.6065915,0.46436718,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.48664242,-8.402782,4.170323,0.32821465,3.6010017,1.1518607,7.0614133,-6.574771,0.14287972,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.303404,-0.9507236,-0.12216506,-0.18585621,0.1210431,1.1518607,0.96127194,-0.6578679,0.4649576,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.25120425,0.12149957,0.46848655,0.39778814,2.421247,0.38938984,0.1267566,0.12444766,1.408829,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.4836346,0.11834392,0.12735784,0.115951635,1.1283997,1.6091578,0.30642402,0.17721055,0.25077334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.29911876,-0.092971325,0.27754813,0.26304626,2.469197,5.4361806,0.3060973,-0.006978538,0.5639606,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
